problem_id,problem,answer
pe-421,"Numbers of the form $n^{15}+1$ are composite for every integer $n \gt 1$.

For positive integers $n$ and $m$ let $s(n,m)$ be defined as the sum of the distinct prime factors of $n^{15}+1$ not exceeding $m$.

E.g. $2^{15}+1 = 3 \times 3 \times 11 \times 331$.

So $s(2,10) = 3$ and $s(2,1000) = 3+11+331 = 345$.

Also $10^{15}+1 = 7 \times 11 \times 13 \times 211 \times 241 \times 2161 \times 9091$.

So $s(10,100) = 31$ and $s(10,1000) = 483$.

Find $\sum s(n,10^8)$ for $1 \leq n \leq 10^{11}$.

Give your answer modulo $99991$.",REDACTED
pe-423,"Let $n$ be a positive integer.

A 6-sided die is thrown $n$ times. Let $c$ be the number of pairs of consecutive throws that give the same value.

For example, if $n = 7$ and the values of the die throws are (1,1,5,6,6,6,3), then the following pairs of consecutive throws give the same value:

(1,1,5,6,6,6,3)

(1,1,5,6,6,6,3)

(1,1,5,6,6,6,3)

Therefore, $c = 3$ for (1,1,5,6,6,6,3).

Define $C(n)$ as the number of outcomes of throwing a 6-sided die $n$ times such that $c$ does not exceed $\pi(n)$.1

For example, $C(3) = 216$, $C(4) = 1290$, $C(11) = 361912500$ and $C(24) = 4727547363281250000$.

Define $S(L)$ as $\sum C(n)$ for $1 \leq n \leq L$.

For example, $S(50) \bmod 1\,000\,000\,007 = 832833871$.

Find $S(50\,000\,000) \bmod 1\,000\,000\,007$.

 1 $\pi$ denotes the prime-counting function, i.e. $\pi(n)$ is the number of primes $\leq n$.",REDACTED
pe-425,"Two positive numbers $A$ and $B$ are said to be connected (denoted by ""$A \leftrightarrow B$"") if one of these conditions holds:

(1) $A$ and $B$ have the same length and differ in exactly one digit; for example, $123 \leftrightarrow 173$.

(2) Adding one digit to the left of $A$ (or $B$) makes $B$ (or $A$); for example, $23 \leftrightarrow 223$ and $123 \leftrightarrow 23$.

We call a prime $P$ a $2$'s relative if there exists a chain of connected primes between $2$ and $P$ and no prime in the chain exceeds $P$.

For example, $127$ is a $2$'s relative. One of the possible chains is shown below:

$2 \leftrightarrow 3 \leftrightarrow 13 \leftrightarrow 113 \leftrightarrow 103 \leftrightarrow 107 \leftrightarrow 127$

However, $11$ and $103$ are not $2$'s relatives.

Let $F(N)$ be the sum of the primes $\leq N$ which are not $2$'s relatives.

We can verify that $F(10^3) = 431$ and $F(10^4) = 78728$.

Find $F(10^7)$.

Give your answer modulo $99991$.",REDACTED
pe-427,"A sequence of integers $S = \{s_i\}$ is called an $n$-sequence if it has $n$ elements and each element $s_i$ satisfies $1 \leq s_i \leq n$. Thus there are $n^n$ distinct $n$-sequences in total.
For example, the sequence $S = \{1, 5, 5, 10, 7, 7, 7, 2, 3, 7\}$ is a $10$-sequence.

For any sequence $S$, let $L(S)$ be the length of the longest contiguous subsequence of $S$ with the same value.
For example, for the given sequence $S$ above, $L(S) = 3$, because of the three consecutive $7$'s.

Let $f(n) = \sum L(S)$ for all $n$-sequences S.

For example, $f(3) = 45$, $f(7) = 1403689$ and $f(11) = 481496895121$.

Find $f(7\,500\,000) \bmod 1\,000\,000\,009$.",REDACTED
pe-429,"A unitary divisor $d$ of a number $n$ is a divisor of $n$ that has the property $\gcd(d, n/d) = 1$.

The unitary divisors of $4! = 24$ are $1, 3, 8$ and $24$.

The sum of their squares is $1^2 + 3^2 + 8^2 + 24^2 = 650$.

Let $S(n)$ represent the sum of the squares of the unitary divisors of $n$. Thus $S(4!)=650$.

Find $S(100\,000\,000!)$ modulo $1\,000\,000\,009$.",REDACTED
pe-432,"Let $S(n,m) = \sum\phi(n \times i)$ for $1 \leq i \leq m$. ($\phi$ is Euler's totient function)

You are given that $S(510510,10^6)= 45480596821125120$. 

Find $S(510510,10^{11})$.

Give the last $9$ digits of your answer.",REDACTED
pe-433,"Let $E(x_0, y_0)$ be the number of steps it takes to determine the greatest common divisor of $x_0$ and $y_0$ with Euclid's algorithm. More formally:
$x_1 = y_0$, $y_1 = x_0 \bmod y_0$
$x_n = y_{n-1}$, $y_n = x_{n-1} \bmod y_{n-1}$

$E(x_0, y_0)$ is the smallest $n$ such that $y_n = 0$.

We have $E(1,1) = 1$, $E(10,6) = 3$ and $E(6,10) = 4$.

Define $S(N)$ as the sum of $E(x,y)$ for $1 \leq x,y \leq N$.

We have $S(1) = 1$, $S(10) = 221$ and $S(100) = 39826$.

Find $S(5\cdot 10^6)$.",REDACTED
pe-435,"The Fibonacci numbers $\{f_n, n \ge 0\}$ are defined recursively as $f_n = f_{n-1} + f_{n-2}$ with base cases $f_0 = 0$ and $f_1 = 1$.

Define the polynomials $\{F_n, n \ge 0\}$ as $F_n(x) = \displaystyle{\sum_{i=0}^n f_i x^i}$.

For example, $F_7(x) = x + x^2 + 2x^3 + 3x^4 + 5x^5 + 8x^6 + 13x^7$, and $F_7(11) = 268\,357\,683$.

Let $n = 10^{15}$. Find the sum $\displaystyle{\sum_{x=0}^{100} F_n(x)}$ and give your answer modulo $1\,307\,674\,368\,000 \ (= 15!)$.",REDACTED
pe-437,"When we calculate $8^n$ modulo $11$ for $n=0$ to $9$ we get: $1, 8, 9, 6, 4, 10, 3, 2, 5, 7$.

As we see all possible values from $1$ to $10$ occur. So $8$ is a primitive root of $11$.

But there is more:

If we take a closer look we see:

$1+8=9$

$8+9=17 \equiv 6 \bmod 11$

$9+6=15 \equiv 4 \bmod 11$

$6+4=10$

$4+10=14 \equiv 3 \bmod 11$

$10+3=13 \equiv 2 \bmod 11$

$3+2=5$

$2+5=7$

$5+7=12 \equiv 1 \bmod 11$.

So the powers of $8 \bmod 11$ are cyclic with period $10$, and $8^n + 8^{n+1} \equiv 8^{n+2} \pmod{11}$.

$8$ is called a Fibonacci primitive root of $11$.

Not every prime has a Fibonacci primitive root.

There are $323$ primes less than $10000$ with one or more Fibonacci primitive roots and the sum of these primes is $1480491$.

Find the sum of the primes less than $100\,000\,000$ with at least one Fibonacci primitive root.",REDACTED
pe-438,"For an $n$-tuple of integers $t = (a_1, \dots, a_n)$, let $(x_1, \dots, x_n)$ be the solutions of the polynomial equation $x^n + a_1 x^{n-1} + a_2 x^{n-2} + \cdots + a_{n-1}x + a_n = 0$.

Consider the following two conditions:

- $x_1, \dots, x_n$ are all real.

- If $x_1, \dots, x_n$ are sorted, $\lfloor x_i\rfloor = i$ for $1 \leq i \leq n$. ($\lfloor \cdot \rfloor$: floor function.)

In the case of $n = 4$, there are $12$ $n$-tuples of integers which satisfy both conditions.

We define $S(t)$ as the sum of the absolute values of the integers in $t$.

For $n = 4$ we can verify that $\sum S(t) = 2087$ for all $n$-tuples $t$ which satisfy both conditions.

Find $\sum S(t)$ for $n = 7$.

Give your answer modulo $99991$.",REDACTED
pe-439,"Let $d(k)$ be the sum of all divisors of $k$.

We define the function $S(N) = \sum_{i=1}^N \sum_{j=1}^Nd(i \cdot j)$.

For example, $S(3) = d(1) + d(2) + d(3) + d(2) + d(4) + d(6) + d(3) + d(6) + d(9) = 59$.

You are given that $S(10^3) = 563576517282$ and $S(10^5) \bmod 10^9 = 215766508$.

Find $S(10^{11}) \bmod 10^9$.",REDACTED
pe-442,"An integer is called eleven-free if its decimal expansion does not contain any substring representing a power of $11$ except $1$.

For example, $2404$ and $13431$ are eleven-free, while $911$ and $4121331$ are not.

Let $E(n)$ be the $n$th positive eleven-free integer. For example, $E(3) = 3$, $E(200) = 213$ and $E(500\,000) = 531563$.

Find $E(10^{18})$.

Give your answer modulo $99991$.",REDACTED
pe-443,"Let $g(n)$ be a sequence defined as follows:

$g(4) = 13$,

$g(n) = g(n-1) + \gcd(n, g(n-1))$ for $n \gt 4$.

The first few values are:

    <table cellspacing=""1"" cellpadding=""5"" border=""0"" align=""center""><tr><td>$n$</td><td>4</td><td>5</td><td>6</td><td>7</td><td>8</td><td>9</td><td>10</td><td>11</td><td>12</td><td>13</td><td>14</td><td>15</td><td>16</td><td>17</td><td>18</td><td>19</td><td>20</td><td>...</td>
    </tr><tr><td>$g(n)$</td><td>13</td><td>14</td><td>16</td><td>17</td><td>18</td><td>27</td><td>28</td><td>29</td><td>30</td><td>31</td><td>32</td><td>33</td><td>34</td><td>51</td><td>54</td><td>55</td><td>60</td><td>...</td>
    </tr></table>

You are given that $g(1\,000) = 2524$ and $g(1\,000\,000) = 2624152$.

Find $g(10^{15})$.

Give your answer modulo $99991$.",REDACTED
pe-445,"For every integer $n&gt;1$, the family of functions $f_{n,a,b}$ is defined 
by  

$f_{n,a,b}(x)\equiv a x + b \mod n\,\,\, $ for $a,b,x$ integer and  $0&lt; a &lt;n, 0 \le b &lt; n,0 \le x &lt; n$. 

We will call $f_{n,a,b}$ a retraction if $\,\,\, f_{n,a,b}(f_{n,a,b}(x)) \equiv f_{n,a,b}(x) \mod n \,\,\,$ for every $0 \le x &lt; n$.

Let $R(n)$ be the number of retractions for $n$.

You are given that

$\displaystyle \sum_{k=1}^{99\,999} R(\binom {100\,000} k)  \equiv 628701600 \mod 1\,000\,000\,007$.

 
Find $\displaystyle \sum_{k=1}^{9\,999\,999} R(\binom {10\,000\,000} k)$.

Give your answer modulo $1\,000\,000\,007$.",REDACTED
pe-446,"For every integer $n&gt;1$, the family of functions $f_{n,a,b}$ is defined 
by  

$f_{n,a,b}(x)\equiv a x + b \mod n\,\,\, $ for $a,b,x$ integer and  $0&lt; a &lt;n, 0 \le b &lt; n,0 \le x &lt; n$. 

We will call $f_{n,a,b}$ a retraction if $\,\,\, f_{n,a,b}(f_{n,a,b}(x)) \equiv f_{n,a,b}(x) \mod n \,\,\,$ for every $0 \le x &lt; n$.

Let $R(n)$ be the number of retractions for $n$.

$\displaystyle F(N)=\sum_{n=1}^NR(n^4+4)$. 
 
$F(1024)=77532377300600$.

Find $F(10^7)$.

Give your answer modulo $1\,000\,000\,007$.",REDACTED
pe-447,"For every integer $n&gt;1$, the family of functions $f_{n,a,b}$ is defined 
by  

$f_{n,a,b}(x)\equiv a x + b \mod n\,\,\, $ for $a,b,x$ integer and  $0&lt; a &lt;n, 0 \le b &lt; n,0 \le x &lt; n$. 

We will call $f_{n,a,b}$ a retraction if $\,\,\, f_{n,a,b}(f_{n,a,b}(x)) \equiv f_{n,a,b}(x) \mod n \,\,\,$ for every $0 \le x &lt; n$.

Let $R(n)$ be the number of retractions for $n$.

$\displaystyle F(N)=\sum_{n=2}^N R(n)$. 
 
$F(10^7)\equiv 638042271 \mod 1\,000\,000\,007$.

Find $F(10^{14})$.

Give your answer modulo $1\,000\,000\,007$.",REDACTED
pe-448,"The function $\operatorname{\mathbf{lcm}}(a,b)$ denotes the least common multiple of $a$ and $b$.

Let $A(n)$ be the average of the values of $\operatorname{lcm}(n,i)$ for $1 \le i \le n$.

E.g: $A(2)=(2+2)/2=2$ and $A(10)=(10+10+30+20+10+30+70+40+90+10)/10=32$. 

Let $S(n)=\sum A(k)$ for $1 \le k \le n$.

$S(100)=122726$.

Find $S(99999999019) \bmod 999999017$.",REDACTED
pe-450,"A hypocycloid is the curve drawn by a point on a small circle rolling inside a larger circle. The parametric equations of a hypocycloid centered at the origin, and starting at the right most point is given by:

$$x(t) = (R - r) \cos(t) + r \cos(\frac {R - r} r t)$$
$$y(t) = (R - r) \sin(t) - r \sin(\frac {R - r} r t)$$

Where $R$ is the radius of the large circle and $r$ the radius of the small circle.

Let $C(R, r)$ be the set of distinct points with integer coordinates on the hypocycloid with radius R and r and for which there is a corresponding value of t such that $\sin(t)$ and $\cos(t)$ are rational numbers.

Let $S(R, r) = \sum_{(x,y) \in C(R, r)} |x| + |y|$ be the sum of the absolute values of the $x$ and $y$ coordinates of the points in $C(R, r)$.

Let $T(N) = \sum_{R = 3}^N \sum_{r=1}^{\lfloor \frac {R - 1} 2 \rfloor} S(R, r)$ be the sum of $S(R, r)$ for R and r positive integers, $R\leq N$  and $2r &lt; R$.

You are given:

<table>
<tr>
<td class=""right"">$C(3, 1)$</td><td>=</td><td>$\{(3, 0), (-1, 2), (-1,0), (-1,-2)\}$</td>
</tr>
<tr>
<td>$C(2500, 1000)$</td><td>=</td><td>$\{(2500, 0), (772, 2376), (772, -2376), (516, 1792), (516, -1792), (500, 0), (68, 504), (68, -504),$</td>
</tr>
<tr>
<td colspan=""2""> </td><td>$(-1356, 1088), (-1356, -1088), (-1500, 1000), (-1500, -1000)\}$</td>
</tr>
</table>

Note: $(-625, 0)$ is not an element of $C(2500, 1000)$ because $\sin(t)$ is not a rational number for the corresponding values of $t$.

$S(3, 1) = (|3| + |0|) + (|-1| + |2|) + (|-1| + |0|) + (|-1| + |-2|) = 10$

$T(3) = 10; T(10) = 524; T(100) = 580442; T(10^3) = 583108600$.

Find $T(10^6)$.

Give your answer modulo $99991$.",REDACTED
pe-451,"Consider the number $15$.

There are eight positive numbers less than $15$ which are coprime to $15$: $1, 2, 4, 7, 8, 11, 13, 14$.

The modular inverses of these numbers modulo $15$ are: $1, 8, 4, 13, 2, 11, 7, 14$
  
because

$1 \cdot 1 \bmod 15=1$

$2 \cdot 8=16 \bmod 15=1$

$4 \cdot 4=16 \bmod 15=1$

$7 \cdot 13=91 \bmod 15=1$

$11 \cdot 11=121 \bmod 15=1$

$14 \cdot 14=196 \bmod 15=1
$

Let $I(n)$ be the largest positive number $m$ smaller than $n-1$ such that the modular inverse of $m$ modulo $n$ equals $m$ itself.

So $I(15)=11$.

Also $I(100)=51$ and $I(7)=1$.

Find $\sum I(n)$ for $3 \le n \le 2 \times 10^7$.",REDACTED
pe-452,"Define $F(m,n)$ as the number of $n$-tuples of positive integers for which the product of the elements doesn't exceed $m$.

$F(10, 10) = 571$.

$F(10^6, 10^6) \bmod 1\,234\,567\,891 = 252903833$.

Find $F(10^9, 10^9) \bmod 1\,234\,567\,891$.",REDACTED
pe-454,"In the following equation $x$, $y$, and $n$ are positive integers.

$$\dfrac{1}{x} + \dfrac{1}{y} = \dfrac{1}{n}$$
For a limit $L$ we define $F(L)$ as the number of solutions which satisfy $x \lt y \le L$.

We can verify that $F(15) = 4$ and $F(1000) = 1069$.

Find $F(10^{12})$.

Give your answer modulo $99991$.",REDACTED
pe-455,"Let $f(n)$ be the largest positive integer $x$ less than $10^9$ such that the last $9$ digits of $n^x$ form the number $x$ (including leading zeros), or zero if no such integer exists.

For example:

- $f(4) = 411728896$ ($4^{411728896} = \cdots 490\underline{411728896}$) 

- $f(10) = 0$

- $f(157) = 743757$ ($157^{743757} = \cdots 567\underline{000743757}$)

- $\sum_{2 \le n \le 10^3} f(n) = 442530011399$

Find $\sum_{2 \le n \le 10^6}f(n)$.",REDACTED
pe-456,"Define:
$x_n = (1248^n \bmod 32323) - 16161$
$y_n = (8421^n \bmod 30103) - 15051$

$P_n = \{(x_1, y_1), (x_2, y_2), \dots, (x_n, y_n)\}$

For example, $P_8 = \{(-14913, -6630),$$(-10161, 5625),$$(5226, 11896),$$(8340, -10778),$$(15852, -5203),$$(-15165, 11295),$$(-1427, -14495),$$(12407, 1060)\}$.

Let $C(n)$ be the number of triangles whose vertices are in $P_n$ which contain the origin in the interior.

Examples:

$C(8) = 20$

$C(600) = 8950634$

$C(40\,000) = 2666610948988$

Find $C(2\,000\,000)$.",REDACTED
pe-457,"Let $f(n) = n^2 - 3n - 1$.

Let $p$ be a prime.

Let $R(p)$ be the smallest positive integer $n$ such that $f(n) \bmod p^2 = 0$ if such an integer $n$ exists, otherwise $R(p) = 0$.

Let $SR(L)$ be $\sum R(p)$ for all primes not exceeding $L$.

Find $SR(10^7)$.",REDACTED
pe-458,"Consider the alphabet $A$ made out of the letters of the word ""$\text{project}$"": $A=\{\text c,\text e,\text j,\text o,\text p,\text r,\text t\}$.

Let $T(n)$ be the number of strings of length $n$ consisting of letters from $A$ that do not have a substring that is one of the $5040$ permutations of ""$\text{project}$"".

$T(7)=7^7-7!=818503$.

Find $T(10^{12})$. Give the last $9$ digits of your answer.",REDACTED
pe-461,"Let $f_n(k) = e^{k/n} - 1$, for all non-negative integers $k$.

Remarkably, $f_{200}(6)+f_{200}(75)+f_{200}(89)+f_{200}(226)=\underline{3.1415926}44529\cdots\approx\pi$.

In fact, it is the best approximation of $\pi$ of the form $f_n(a) + f_n(b) + f_n(c) + f_n(d)$ for $n=200$.

Let $g(n)=a^2 + b^2 + c^2 + d^2$ for $a, b, c, d$ that minimize the error: $|f_n(a) + f_n(b) + f_n(c) + f_n(d) - \pi|$

(where $|x|$ denotes the absolute value of $x$).

You are given $g(200)=6^2+75^2+89^2+226^2=64658$.

Find $g(10000)$.

Give your answer modulo $99991$.",REDACTED
pe-463,"The function $f$ is defined for all positive integers as follows:

- $f(1)=1$

- $f(3)=3$

- $f(2n)=f(n)$

- $f(4n + 1)=2f(2n + 1) - f(n)$

- $f(4n + 3)=3f(2n + 1) - 2f(n)$

The function $S(n)$ is defined as $\sum_{i=1}^{n}f(i)$.

$S(8)=22$ and $S(100)=3604$.

Find $S(3^{37})$. Give the last $9$ digits of your answer.",REDACTED
pe-464,"The Möbius function, denoted $\mu(n)$, is defined as:

- $\mu(n) = (-1)^{\omega(n)}$ if $n$ is squarefree (where $\omega(n)$ is the number of distinct prime factors of $n$)

- $\mu(n) = 0$ if $n$ is not squarefree.

Let $P(a, b)$ be the number of integers $n$ in the interval $[a, b]$ such that $\mu(n) = 1$.

Let $N(a, b)$ be the number of integers $n$ in the interval $[a, b]$ such that $\mu(n) = -1$.

For example, $P(2,10) = 2$ and $N(2,10) = 4$.

Let $C(n)$ be the number of integer pairs $(a, b)$ such that:

-  $1\le a \le b \le n$,

-  $99 \cdot N(a, b) \le 100 \cdot P(a, b)$, and

-  $99 \cdot P(a, b) \le 100 \cdot N(a, b)$.

For example, $C(10) = 13$, $C(500) = 16676$ and $C(10\,000) = 20155319$.

Find $C(20\,000\,000)$.

Give your answer modulo $99991$.",REDACTED
pe-466,"Let $P(m,n)$ be the number of distinct terms in an $m\times n$ multiplication table.

For example, a $3\times 4$ multiplication table looks like this:

<table class=""p466""><tr><th>$\times$</th> <th>1</th><th>2</th><th>3</th><th>4</th></tr><tr><th>1</th> <td>1</td><td>2</td><td>3</td><td>4</td></tr><tr><th>2</th> <td>2</td><td>4</td><td>6</td><td>8</td></tr><tr><th>3</th> <td>3</td><td>6</td><td>9</td><td>12</td></tr></table>

There are $8$ distinct terms $\{1,2,3,4,6,8,9,12\}$, therefore $P(3,4) = 8$.

You are given that:

$P(64,64) = 1263$,

$P(12,345) = 1998$, and

$P(32,10^{15}) = 13826382602124302$.

Find $P(64,10^{16})$.

Give your answer modulo $99991$.",REDACTED
pe-467,"An integer $s$ is called a superinteger of another integer $n$ if the digits of $n$ form a subsequenceA subsequence is a sequence that can be derived from another sequence by deleting some elements without changing the order of the remaining elements. of the digits of $s$.

For example, $2718281828$ is a superinteger of $18828$, while $314159$ is not a superinteger of $151$.

Let $p(n)$ be the $n$th prime number, and let $c(n)$ be the $n$th composite number. For example, $p(1) = 2$, $p(10) = 29$, $c(1)$ = 4 and $c(10) = 18$.

$\{p(i) : i \ge 1\} = \{2, 3, 5, 7, 11, 13, 17, 19, 23, 29, \dots\}$

$\{c(i) : i \ge 1\} = \{4, 6, 8, 9, 10, 12, 14, 15, 16, 18, \dots\}$

Let $P^D$ be the sequence of the digital roots of $\{p(i)\}$ ($C^D$ is defined similarly for $\{c(i)\}$):

$P^D = \{2, 3, 5, 7, 2, 4, 8, 1, 5, 2, \dots\}$

$C^D = \{4, 6, 8, 9, 1, 3, 5, 6, 7, 9, \dots\}$

Let $P_n$ be the integer formed by concatenating the first $n$ elements of $P^D$ ($C_n$ is defined similarly for $C^D$).

$P_{10} = 2357248152$

$C_{10} = 4689135679$

Let $f(n)$ be the smallest positive integer that is a common superinteger of $P_n$ and $C_n$. 
For example, $f(10) = 2357246891352679$, and $f(100) \bmod 1\,000\,000\,007 = 771661825$.

Find $f(10\,000) \bmod 1\,000\,000\,007$.",REDACTED
pe-468,"An integer is called B-smooth if none of its prime factors is greater than $B$.

Let $S_B(n)$ be the largest $B$-smooth divisor of $n$.

Examples:

$S_1(10)=1$

$S_4(2100) = 12$

$S_{17}(2496144) = 5712$

Define $\displaystyle F(n)=\sum_{B=1}^n \sum_{r=0}^n S_B(\binom n r)$. Here, $\displaystyle \binom n r$ denotes the binomial coefficient.

Examples:

$F(11) = 3132$

$F(1111) \mod 1\,000\,000\,993 = 706036312$

$F(111\,111) \mod 1\,000\,000\,993 = 22156169$

Find $F(11\,111\,111)  \mod 1\,000\,000\,993$.",REDACTED
pe-470,"Consider a single game of Ramvok:

Let $t$ represent the maximum number of turns the game lasts. If $t = 0$, then the game ends immediately. Otherwise, on each turn $i$, the player rolls a die. After rolling, if $i \lt t$ the player can either stop the game and receive a prize equal to the value of the current roll, or discard the roll and try again next turn. If $i = t$, then the roll cannot be discarded and the prize must be accepted. Before the game begins, $t$ is chosen by the player, who must then pay an up-front cost $ct$ for some constant $c$. For $c = 0$, $t$ can be chosen to be infinite (with an up-front cost of $0$). Let $R(d, c)$ be the expected profit (i.e. net gain) that the player receives from a single game of optimally-played Ramvok, given a fair $d$-sided die and cost constant $c$. For example, $R(4, 0.2) = 2.65$. Assume that the player has sufficient funds for paying any/all up-front costs.

Now consider a game of Super Ramvok:

In Super Ramvok, the game of Ramvok is played repeatedly, but with a slight modification. After each game, the die is altered. The alteration process is as follows: The die is rolled once, and if the resulting face has its pips visible, then that face is altered to be blank instead. If the face is already blank, then it is changed back to its original value. After the alteration is made, another game of Ramvok can begin (and during such a game, at each turn, the die is rolled until a face with a value on it appears). The player knows which faces are blank and which are not at all times. The game of Super Ramvok ends once all faces of the die are blank.

Let $S(d, c)$ be the expected profit that the player receives from an optimally-played game of Super Ramvok, given a fair $d$-sided die to start (with all sides visible), and cost constant $c$. For example, $S(6, 1) = 208.3$.

Let $F(n) = \sum_{4 \le d \le n} \sum_{0 \le c \le n} S(d, c)$.

Calculate $F(20)$, rounded to the nearest integer.

Give your answer modulo $99991$.",REDACTED
pe-473,"Let $\varphi$ be the golden ratio: $\varphi=\frac{1+\sqrt{5}}{2}.$

Remarkably it is possible to write every positive integer as a sum of powers of $\varphi$ even if we require that every power of $\varphi$ is used at most once in this sum.

Even then this representation is not unique.

We can make it unique by requiring that no powers with consecutive exponents are used and that the representation is finite.

E.g: 
$2=\varphi+\varphi^{-2}$ and $3=\varphi^{2}+\varphi^{-2}$

To represent this sum of powers of $\varphi$ we use a string of 0's and 1's with a point to indicate where the negative exponents start.

We call this the representation in the phigital numberbase.

So $1=1_{\varphi}$, $2=10.01_{\varphi}$, $3=100.01_{\varphi}$ and $14=100100.001001_{\varphi}$. 

The strings representing $1$, $2$ and $14$ in the phigital number base are palindromic, while the string representing $3$ is not.
 (the phigital point is not the middle character).

The sum of the positive integers not exceeding $1000$ whose phigital representation is palindromic is $4345$.

Find the sum of the positive integers not exceeding $10^{10}$ whose phigital representation is palindromic.

Give your answer modulo $99991$.",REDACTED
pe-474,"For a positive integer $n$ and digits $d$, we define $F(n, d)$ as the number of the divisors of $n$ whose last digits equal $d$.

For example, $F(84, 4) = 3$. Among the divisors of $84$ ($1, 2, 3, 4, 6, 7, 12, 14, 21, 28, 42, 84$), three of them ($4, 14, 84$) have the last digit $4$.

We can also verify that $F(12!, 12) = 11$ and $F(50!, 123) = 17888$.

Find $F(10^6!, 65432)$ modulo ($10^{16} + 61$).",REDACTED
pe-475,"$12n$ musicians participate at a music festival. On the first day, they form $3n$ quartets and practice all day.

It is a disaster. At the end of the day, all musicians decide they will never again agree to play with any member of their quartet.

On the second day, they form $4n$ trios, with every musician avoiding any previous quartet partners.

Let $f(12n)$ be the number of ways to organize the trios amongst the $12n$ musicians.

You are given $f(12) = 576$ and $f(24) \bmod 1\,000\,000\,007 = 509089824$.

Find $f(600) \bmod 1\,000\,000\,007$.",REDACTED
pe-477,"The number sequence game starts with a sequence $S$ of $N$ numbers written on a line.

Two players alternate turns. The players on their respective turns must select and remove either the first or the last number remaining in the sequence.

A player's own score is (determined by) the sum of all the numbers that player has taken. Each player attempts to maximize their own sum.

If $N = 4$ and $S = \{1, 2, 10, 3\}$, then each player maximizes their own score as follows:

- Player 1: removes the first number ($1$)

- Player 2: removes the last number from the remaining sequence ($3$)

- Player 1: removes the last number from the remaining sequence ($10$)

- Player 2: removes the remaining number ($2$)

Player 1 score is $1 + 10 = 11$.

Let $F(N)$ be the score of player 1 if both players follow the optimal strategy for the sequence $S = \{s_1, s_2, \dots, s_N\}$ defined as:

- $s_1 = 0$

- $s_{i + 1} = (s_i^2 + 45)$ modulo $1\,000\,000\,007$

The sequence begins with $S=\{0, 45, 2070, 4284945, 753524550, 478107844, 894218625, \dots\}$.

You are given $F(2)=45$, $F(4)=4284990$, $F(100)=26365463243$, $F(10^4)=2495838522951$.

Find $F(10^8)$.",REDACTED
pe-478,"Let us consider mixtures of three substances: A, B and C. A mixture can be described by a ratio of the amounts of A, B, and C in it, i.e., $(a : b : c)$. For example, a mixture described by the ratio $(2 : 3 : 5)$ contains $20\%$ A, $30\%$ B and $50\%$ C.

For the purposes of this problem, we cannot separate the individual components from a mixture. However, we can combine different amounts of different mixtures to form mixtures with new ratios.

For example, say we have three mixtures with ratios $(3 : 0 : 2)$, $(3: 6 : 11)$ and $(3 : 3 : 4)$. By mixing $10$ units of the first, $20$ units of the second and $30$ units of the third, we get a new mixture with ratio $(6 : 5 : 9)$, since:

$(10 \cdot \tfrac 3 5$ + $20 \cdot \tfrac 3 {20} + 30 \cdot \tfrac 3 {10} : 10 \cdot \tfrac 0 5 + 20 \cdot \tfrac 6 {20} + 30 \cdot \tfrac 3 {10} : 10 \cdot \tfrac 2 5 + 20 \cdot \tfrac {11} {20} + 30 \cdot \tfrac 4 {10})
= (18 : 15 : 27) = (6 : 5 : 9)$

However, with the same three mixtures, it is impossible to form the ratio $(3 : 2 : 1)$, since the amount of B is always less than the amount of C.

Let $n$ be a positive integer. Suppose that for every triple of integers $(a, b, c)$ with $0 \le a, b, c \le n$ and $\gcd(a, b, c) = 1$, we have a mixture with ratio $(a : b : c)$. Let $M(n)$ be the set of all such mixtures.

For example, $M(2)$ contains the $19$ mixtures with the following ratios:

$$\begin{align}
\{&amp;(0 : 0 : 1), (0 : 1 : 0), (0 : 1 : 1), (0 : 1 : 2), (0 : 2 : 1),\\
&amp;(1 : 0 : 0), (1 : 0 : 1), (1 : 0 : 2), (1 : 1 : 0), (1 : 1 : 1),\\
&amp;(1 : 1 : 2), (1 : 2 : 0), (1 : 2 : 1), (1 : 2 : 2), (2 : 0 : 1),\\
&amp;(2 : 1 : 0), (2 : 1 : 1), (2 : 1 : 2), (2 : 2 : 1)\}.
\end{align}$$

Let $E(n)$ be the number of subsets of $M(n)$ which can produce the mixture with ratio $(1 : 1 : 1)$, i.e., the mixture with equal parts A, B and C.

We can verify that $E(1) = 103$, $E(2) = 520447$, $E(10) \bmod 11^8 = 82608406$ and $E(500) \bmod 11^8 = 13801403$.

Find $E(10\,000\,000) \bmod 11^8$.",REDACTED
pe-479,"Let $a_k$, $b_k$, and $c_k$ represent the three solutions (real or complex numbers) to the equation
$\frac 1 x = (\frac k x)^2(k+x^2)-k x$.

For instance, for $k=5$, we see that $\{a_5, b_5, c_5 \}$ is approximately $\{5.727244, -0.363622+2.057397i, -0.363622-2.057397i\}$.

Let $\displaystyle S(n) = \sum_{p=1}^n\sum_{k=1}^n(a_k+b_k)^p(b_k+c_k)^p(c_k+a_k)^p$. 

Interestingly, $S(n)$ is always an integer. For example, $S(4) = 51160$.

Find $S(10^6)$ modulo $1\,000\,000\,007$.",REDACTED
